1;100;50;10;100;1;1;1;1;1;1
2;100;50;10;100;1;1;1;1;1;1
3;100;10;10;10;1;1;1;1;1;1
4;100;10;10;10;1;1;1;1;1;1
5;100;10;10;10;1;1;1;1;1;1
6;100;50;10;100;1;1;1;1;1;1
7;100;10;10;10;1;1;1;1;1;1
8;100;10;10;10;1;1;0;0;1;0
9;100;10;10;10;1;1;1;1;1;1
11;100;10;10;10;1;1;0;1;1;1
12;100;10;10;10;1;1;1;1;1;1
13;100;10;10;10;1;1;1;1;1;1
14;100;10;10;10;1;1;1;0;1;1
15;100;50;10;100;1;1;1;1;1;1
16;100;10;10;10;1;1;1;1;1;1
17;100;50;10;100;1;1;1;1;1;1
18;100;10;10;10;1;1;1;0;1;1
19;100;10;10;10;1;1;1;1;1;1
20;100;50;10;100;1;1;1;1;1;1
21;100;10;10;10;1;1;1;0;1;1
22;100;10;10;10;1;1;1;1;1;1
23;100;10;10;10;1;1;1;1;1;1
25;100;10;10;10;1;0;1;1;1;1
26;100;50;10;100;0;1;0;1;1;0
27;100;50;10;100;1;1;1;1;1;1
28;100;10;10;10;1;1;1;0;1;0
29;100;10;10;10;1;1;1;1;1;1
30;100;10;10;10;1;1;1;0;1;1
31;100;50;100;100;1;1;1;1;0;0
32;100;10;10;10;1;1;1;1;1;1
33;100;50;10;100;1;1;1;0;1;1
34;100;10;10;10;1;1;1;1;1;1
35;100;50;10;100;1;1;1;1;1;1
36;100;10;10;10;1;1;1;1;1;1
37;100;10;10;10;1;1;1;1;1;1
38;100;10;10;10;1;1;1;0;1;1
39;100;10;100;100;1;1;1;1;1;1
40;100;10;10;10;1;1;1;0;1;1
41;100;10;10;10;1;1;1;1;1;1
42;100;10;10;10;1;1;1;1;1;1
43;100;10;10;10;1;1;1;0;1;1
44;100;10;10;10;1;1;1;0;1;1
45;100;10;10;10;1;1;1;1;0;0
46;100;10;10;10;1;0;1;1;1;1
47;100;10;10;10;1;1;0;0;1;1
48;100;50;100;100;1;1;1;1;1;1
49;100;10;10;10;1;1;0;0;1;1
50;100;10;10;10;1;1;1;1;1;1
51;100;10;10;10;1;1;0;1;1;1
52;100;10;10;10;0;1;1;1;1;1
53;100;10;10;10;1;1;1;0;1;1
54;100;10;10;10;1;1;0;1;1;0
55;100;50;10;100;1;1;1;1;1;0
56;100;10;10;10;1;0;1;0;1;0
57;100;10;10;10;1;0;1;0;1;0
58;100;10;10;10;1;1;1;0;1;1
59;100;10;10;10;1;1;1;0;1;1
60;100;10;10;10;1;1;1;1;1;1
61;100;10;10;10;1;1;1;1;1;1
62;100;10;10;10;1;1;1;1;1;1
63;100;10;10;10;1;1;0;1;1;1
64;100;10;10;10;1;0;1;1;1;1
65;100;10;10;10;0;1;1;1;1;1
66;100;10;10;10;1;1;1;1;1;1
67;100;10;10;10;1;0;1;1;1;1
68;100;10;10;10;1;1;1;0;1;1
69;100;10;10;10;1;1;1;0;1;1
70;100;50;10;100;0;1;1;1;1;0
72;100;10;10;10;1;1;1;1;1;1
73;100;10;10;100;1;1;1;1;1;1
74;100;10;10;10;1;1;1;1;1;1
76;100;10;10;10;1;0;1;1;1;1
77;100;10;10;10;1;1;0;1;1;1
78;100;10;10;10;1;1;1;1;1;1
79;100;10;10;10;1;1;1;1;0;0
80;100;10;10;10;1;1;0;1;1;1
81;100;50;100;10;0;1;1;1;0;0
82;100;10;10;10;1;1;1;0;1;1
83;100;10;10;10;1;1;1;0;1;1
84;100;50;10;10;1;1;1;1;0;1
85;100;10;10;10;1;1;1;0;1;1
86;100;10;10;10;1;0;1;1;1;1
87;100;10;10;10;1;1;0;1;1;1
88;100;50;100;100;1;1;1;1;1;0
89;100;10;10;10;0;1;0;0;1;0
91;100;10;10;10;0;1;0;1;1;0
92;100;10;10;10;1;1;1;0;1;1
93;100;10;10;10;0;1;1;1;1;0
94;100;10;10;10;1;1;1;1;1;1
95;100;10;10;10;1;1;1;0;1;1
96;100;10;10;10;1;1;1;0;1;1
97;100;50;100;100;0;1;1;1;0;0
98;100;10;10;10;1;1;1;0;1;1
99;100;10;10;10;1;1;1;0;1;1
100;10;10;10;10;1;1;1;1;1;1
101;10;50;100;100;1;1;0;1;1;0
102;10;10;10;10;1;1;1;1;1;1
103;10;10;10;10;1;1;1;0;1;1
104;10;10;10;10;1;1;1;0;1;1
105;10;10;10;10;1;1;1;0;1;1
106;10;10;10;10;1;1;1;0;1;1
107;10;10;10;10;1;1;1;0;1;1
109;10;50;10;100;1;1;0;1;1;0
110;10;10;10;10;1;1;1;0;1;1
112;10;10;10;10;1;0;1;1;1;1
113;10;10;10;10;0;0;0;0;1;0
114;10;50;10;100;1;1;0;0;0;1
115;10;50;100;10;0;0;0;1;0;0
116;10;10;10;10;1;1;1;0;1;0
